t,totalmass,massrate
15.04,23.1325482213124,1.65188812167902
15.05,23.1434406307238,1.08924094113692
15.06,23.204848561533,6.14079308092258
15.07,23.2433137712697,3.84652097367253
15.08,23.3099876396849,6.6673868415174
15.09,23.3764609538516,6.64733141667122
15.1,23.4488420740536,7.23811202019302
15.11,23.5219795372945,7.31374632409594
15.12,23.5964326425713,7.44531052767368
15.13,23.7036818807564,10.7249238185115
15.14,23.7947736917825,9.10918110261271
15.15,23.8875372489793,9.27635571968595
15.16,23.9526942609569,6.51570119776055
15.17,23.978869109519,2.61748485620578
15.18,23.9828986050589,0.402949553984665
15.19,23.9921154983883,0.921689332945541
15.2,23.9921154983883,0
15.21,23.9921154983883,0
15.22,23.9921154983883,0
15.23,23.9921154983883,0
15.24,23.9921154983883,0
15.25,23.9921154983883,0
15.26,23.9921154983883,0
15.27,23.9921154983883,0
15.28,23.9921154983883,0
15.29,23.9921154983883,0
15.3,23.9921154983883,0
15.31,23.9961449939282,0.402949553984665
15.32,24.0130244093444,1.6879415416263
15.33,24.0251958658448,1.21714565003973
15.34,24.0299038247607,0.470795891586573
15.35,24.0545220619151,2.46182371544143
15.36,24.0602270735369,0.570501162176043
15.37,24.0706400440745,1.04129705376262
15.38,24.092984421599,2.23443775244872
15.39,24.126460597895,3.34761762960633
15.4,24.1516383937512,2.51777958561631
15.41,24.181204639335,2.95662455838162
15.42,24.2114493482948,3.02447089598353
15.43,24.2604883781131,4.90390298182189
15.44,24.285426784609,2.49384064959563
15.45,24.3263664584896,4.09396738805948
15.46,24.3781947718704,5.18283133807826
15.47,24.4258358499253,4.76410780549206
15.48,24.4986919789365,7.28561290111624
15.49,24.5736658078032,7.49738288667406
15.5,24.6602500047224,8.65841969192032
15.51,24.7608779585612,10.0627953838795
15.52,24.8601896102109,9.93116516496879
15.53,24.9394704989361,7.92808887252027
15.54,24.9913025822281,5.1832083291964
15.55,25.0177549951087,2.64524128806733
15.56,25.0266539592616,0.889896415290913
15.57,25.0266539592616,0
15.58,25.0266539592616,0
15.59,25.0266539592616,0
15.6,25.0266539592616,0
