time,Fx,Fy,Fz
2.01,0.658560455744341,-29.8194290294863,-160.586358203712
2.02,3.35171262976336,-28.134735898441,-159.563381700549
2.03,3.22317199894092,-31.4704487697034,-160.059787451486
2.04,2.02072566911539,-31.1936954829794,-158.60769360442
2.05,1.46831372433559,-28.8373691833325,-167.076533651941
2.06,1.38563298242612,-28.07898489252,-153.732365777932
2.07,3.1975598450442,-27.9776300120003,-149.006080398974
2.08,2.07556127440441,-33.2219931546193,-160.291636726737
2.09,1.43450737741085,-26.5032905196335,-158.867548563922
2.1,2.70341299726861,-30.2876347455891,-162.659828163393
2.11,3.05238915460577,-27.4727430528765,-155.039045813947
2.12,2.09691988858879,-25.7766365642082,-144.184119857295
2.13,3.48614486388675,-19.917306308907,-112.422865335661
2.14,3.93490284485229,-27.1887792428899,-146.614231535102
2.15,3.45795794973072,-33.4855951404071,-174.748132350122
2.16,4.08650487283618,-33.1230902536593,-185.321907221141
2.17,1.77866982576276,-29.5205225392611,-164.149894648442
2.18,3.18286744613563,-28.5908222299338,-155.871709935537
2.19,2.74379029143825,-27.6026452368814,-149.801340011041
2.2,3.38421582180837,-29.3697526143994,-153.9399253142
2.21,4.24731485579899,-28.3168585960724,-159.676059755559
2.22,0.947661341569908,-29.7844032736708,-157.949801220013
2.23,4.17543262147718,-27.3579252526895,-157.889597000669
2.24,0.823127238997697,-27.4866095789296,-155.802807829668
2.25,5.34740293831251,-28.349871732943,-163.672985664791
2.26,3.48742167337643,-28.6653156319935,-160.881275167109
2.27,2.30182670606936,-28.4760112653473,-154.451491347847
2.28,2.65651382128119,-27.6237482954102,-159.368665715835
2.29,2.51752376016723,-28.748321636092,-155.119766683865
2.3,4.39054191484177,-26.4960271180546,-153.619676652074
2.31,2.97199140991921,-27.5731862386676,-158.217873056002
2.32,2.54387897398328,-27.5411392460093,-150.285028392552
2.33,3.40390704597788,-29.0268527974873,-167.099559779596
2.34,3.16493246251614,-27.8038231397413,-167.677382323815
2.35,4.16366719163572,-29.8300000452393,-166.190754338167
2.36,3.23235607506284,-27.5682807804495,-155.211464995295
2.37,3.65441220128176,-26.0934957844483,-150.171140225796
2.38,2.33162977202656,-27.8521403095034,-155.890785667529
2.39,3.71766219054846,-28.198476912376,-162.679231810749
2.4,3.63835706130381,-26.3014091905162,-149.610546013717
2.41,3.24973088181869,-20.2709433601928,-126.884955242825
2.42,3.45570830652513,-24.1886568779605,-149.015329608691
2.43,3.12297993849047,-30.6598701697512,-174.957645486391
2.44,4.03856639016667,-29.5405127284681,-181.531782129194
2.45,1.73487744571859,-27.5596792827332,-162.278222291718
2.46,3.6814374309002,-27.3359428284253,-160.593275577504
2.47,5.03367858907957,-24.4317787598669,-148.830059697457
2.48,2.50924379207123,-27.226971445034,-158.161795124537
2.49,3.84849912689338,-29.8144971640487,-162.734866021332
2.5,3.57365230211654,-26.258230661127,-165.721263185653
2.51,2.51699738337154,-26.9065734548497,-168.030094331475
2.52,2.48337914463202,-27.2331397354195,-154.602935789544
2.53,3.59170330294065,-25.360614515106,-158.373662734453
2.54,3.82305895347354,-29.0868919920084,-167.42481786312
2.55,3.34750495889008,-23.7856657363175,-158.382415691025
2.56,2.94486690972225,-26.1152303280326,-158.991212914991
2.57,2.35484375518284,-29.207274390334,-159.882584095976
2.58,2.77853163670268,-23.3024311544418,-159.039133194011
2.59,4.39956237291919,-28.2233428358692,-165.160539702372
2.6,2.54728053338444,-26.3625043015123,-164.948654407487
2.61,2.52479456031624,-27.8572695899509,-162.245462582459
2.62,3.65492435051717,-23.2670731219278,-161.654599628843
2.63,4.36845934967842,-24.7438804606872,-157.76363753402
2.64,1.93355105112391,-28.4652195594812,-162.946359878153
2.65,2.22861561414259,-26.9275355775402,-162.56293776051
2.66,2.13607174091144,-26.3920319740988,-165.771563443205
2.67,5.09233745938683,-24.5235120169352,-167.866460844716
2.68,3.09849877178432,-24.5273785287451,-157.77918922155
2.69,2.59565810726447,-20.3786526755943,-132.705889423767
2.7,2.4414490577432,-21.2718892843205,-138.358467010383
2.71,3.67322194124115,-30.7002290730693,-179.036068728238
2.72,2.13942188091358,-26.805266529184,-179.068394006524
2.73,3.11830452174414,-26.8627726845323,-177.544823508458
2.74,3.48651989946018,-25.4643361797861,-167.267031532714
2.75,1.94093830450954,-23.4620942271613,-159.608887566668
2.76,3.15716775935012,-25.7008350185055,-157.587684292247
2.77,3.10567208836573,-24.5185312998541,-160.309997523669
2.78,3.9136043382692,-26.7323100213663,-165.610202678569
2.79,2.07542111528428,-25.073350812763,-165.218310029357
2.8,3.53140905401751,-23.7450159419811,-173.035197376639
2.81,2.45987528611342,-23.5987658198008,-159.582453534167
2.82,3.74941222289064,-26.7280165246321,-164.553957605402
2.83,2.03042873709074,-25.3017566109952,-166.472217548203
2.84,2.78648409543536,-24.6959924589493,-169.709584488104
2.85,3.36701681390688,-26.0851425014159,-167.970545022413
2.86,1.98927303562853,-22.48446551666,-158.337088689041
2.87,4.30344672000231,-25.50166507502,-157.685783538747
2.88,3.32238229998425,-26.0763614906013,-171.692122583647
2.89,2.63771412276996,-24.1356649235738,-165.994020399669
2.9,2.79940232061157,-23.7881301466522,-159.556044693937
2.91,1.81235117806741,-24.8070804920426,-163.884337558239
2.92,3.14690389858205,-25.1146195024251,-164.197136697774
2.93,2.5662884500351,-25.1551749747427,-168.469013732811
2.94,2.97589148046414,-25.0421882651424,-171.775617716113
2.95,2.48085672617621,-23.8685482769508,-162.355746907478
2.96,3.36383413168794,-24.9188387815634,-160.997619998629
2.97,1.65538421497048,-20.5811344369679,-141.662451190978
2.98,3.51378352266152,-20.6968163142327,-137.287240664461
2.99,3.79956127007112,-28.9762996445172,-179.964600471705
3,2.75534623161556,-24.6015366752671,-178.748544281785
3.01,3.61468336194535,-25.7769467287295,-180.569652520086
3.02,2.18246804448945,-25.1277651504723,-174.00565349507
3.03,4.00552180871529,-21.9943503760673,-163.312854588643
3.04,2.88939431689115,-23.793342040229,-153.171265825929
3.05,2.44667499578687,-26.66173831333,-165.896432245025
3.06,3.36318392543727,-23.5945410986622,-172.75206843462
3.07,2.68130673733701,-23.8378752443896,-172.311157043995
3.08,4.5178238351981,-23.7760543392045,-171.181859897545
3.09,2.03529645727662,-23.1935456882162,-160.835375996614
3.1,4.0617315797974,-25.2645273153235,-174.395719508285
3.11,3.62121255203179,-22.6592635669768,-161.95385860709
3.12,2.40987673668901,-23.0553403244013,-168.70959243114
3.13,3.85438413067529,-25.9923049562299,-173.570906446096
3.14,3.27887503721459,-22.1628445404779,-160.995097242539
3.15,3.08157462786553,-25.6368298025757,-175.318661523544
3.16,2.66731775281841,-23.3233415873479,-171.571173698083
