time,Fx,Fy,Fz,Mx,My,Mz
11.72,-31.831143927364,565.415843142125,17.7922933666906,-39.8202584290758,-3.79676777839291,0.83527978322087
11.73,-37.368784048002,600.723290323853,46.6131966035676,-42.5386347223844,-4.32995303932518,2.87292343979625
11.74,-39.8767891713112,664.581591656271,78.7422732695684,-47.5513912927665,-4.12105342609643,1.92190074191436
11.75,-40.4396555476707,731.312864364975,99.5424427271132,-52.4659421647281,-4.16845788347146,-0.144491964523279
11.76,-42.8472879151797,820.59730489638,119.877195972205,-57.261245525685,-4.55831763508085,0.785071079073214
11.77,-19.1010571537906,796.127854479458,111.30515504346,-52.7454644487147,-0.765152915930932,1.06040323663203
11.78,-6.27223254601433,825.784276694313,108.301883644569,-53.9781298845147,-1.34885032780058,5.39974989560474
11.79,-14.7993884823003,907.399539411874,138.471521212655,-59.7508150386617,-2.16494512021214,8.97663153437105
11.8,-32.13292786296,983.317635215665,163.196428889646,-65.1273373431568,-2.87927851685912,10.0922270132411
11.81,-47.5353097326129,1009.78329522623,207.425202676948,-67.6476455840397,-5.38230109251591,10.6260697409252
11.82,-59.6040207034914,1007.17725593866,224.890185159435,-66.9819067404425,-8.40812524623297,12.0667005149866
11.83,-59.3309422844722,1090.65398030128,242.470219541131,-72.7760279767419,-9.04825067949895,12.3378374809662
11.84,-54.6026301850069,1141.91863065641,251.941959641414,-75.018709638758,-7.66130729958833,13.6001784964694
11.85,-49.4066621995195,1107.70350099003,253.25108225482,-71.450306640262,-5.61039065396522,12.450514896356
11.86,-40.098169307436,962.608997345161,186.286488066086,-59.8999567294323,-1.35682634223579,3.016425392285
11.87,-22.7441756634558,835.073365934595,185.414836351886,-54.4818920930585,-0.122344738266282,-2.27792898120077
11.88,-21.130612977181,811.575767561026,190.012776046885,-53.1596184678903,-1.3488522459015,-1.60431419194634
11.89,-16.557329424719,756.060535039925,160.108853925608,-48.6988441774854,-2.24159244947554,-1.25801487109441
11.9,-7.69184984713456,649.152456748382,110.300785732444,-41.7469813807417,-1.22090758794492,-2.10065555165081
11.91,11.260255016572,555.953471080316,56.7988731292243,-35.1936693850764,1.1192943545692,-1.95046285231562
11.92,19.8617965844543,509.569339101593,5.07457538035325,-32.9585511581352,0.780779608563878,-2.65024884324453
11.93,25.2949195306563,435.473011584509,-46.8792781000063,-28.4397368641078,1.28343734480172,-2.76046583986093
11.94,16.0475730362252,355.613689409906,-87.7948382401866,-22.7746405409455,-0.189272242670494,-2.67815080293914
11.95,12.057577219507,272.042614557784,-125.420497751798,-16.7235082083179,-0.191590605426141,-2.67055362682074
11.96,11.8199199720853,262.611190409929,-143.082680381763,-17.480645046474,-0.466155154189156,-2.07329445000358
11.97,3.49338832772843,247.682678718922,-153.13825198451,-16.295618963183,-1.39964752522324,1.32228804685019
11.98,-0.321323512341644,239.792410933619,-144.180725628675,-16.026456903653,-1.38579484284538,1.36412688996537
11.99,-3.85632597283243,284.557758322452,-131.576786147893,-19.7261814116672,-1.557845310023,2.07166778491396
12,-8.06593243143642,300.789223403205,-123.301670607922,-22.1410182223197,-2.11703365495424,2.07314473763661
12.01,-14.1340990615719,318.647760041047,-121.149495974833,-22.9539517236944,-2.62809737020132,2.99560502956145
12.02,-22.0067716400912,322.65596596293,-118.362501880976,-22.7642570025376,-2.69284467331698,3.05811861865647
12.03,-24.7729597778321,361.420946619521,-113.321142631512,-24.9175419619295,-2.81120082387822,5.12212956719897
12.04,-35.6891759925748,378.630147307876,-113.899921489794,-25.5803305802964,-3.47985516900325,6.62574482537109
12.05,-28.6055146943509,409.480553399604,-111.11749123654,-26.9137468016607,-2.93124542225947,6.80912076291581
12.06,-21.8809751274125,447.17086584312,-111.99116344963,-29.6357799447183,-1.4903267689151,5.72683222621696
12.07,-26.4417171882505,505.378507526439,-91.7036580842937,-33.1190933257967,-0.675817856210378,7.99668782054794
12.08,-26.6695039994198,569.397988914624,-76.1181186858497,-37.1158739050351,-0.205468541960497,10.2864777925612
12.09,-33.3845836829058,604.807254316602,-48.8586527155622,-39.304786134312,-1.40121592788819,8.32304535171945
12.1,-32.4214106526575,629.747791099101,-28.0220142294354,-40.7441820796536,-2.34614217940722,10.3641341691411
12.11,-49.6559549841336,641.49747555307,3.39473056778668,-41.3198226907895,-3.61541509142446,9.73406102257826
12.12,-51.5955167395997,666.565953731418,29.6840794394596,-42.0438955754773,-3.73821110893616,7.02359214557937
12.13,-48.0559787063789,717.356443564484,61.7855374012494,-45.5181079960847,-6.10845883316116,5.54149697033156
12.14,-37.2204849520087,750.225578476063,62.7549363192495,-46.9406205612497,-7.14843969422988,4.11639950980738
12.15,-32.2402179679155,861.453313140423,82.2103726710581,-53.482667648345,-8.15279733558906,5.11715605036281
12.16,-24.4708332126166,967.681480745477,96.5973732769924,-58.033312666897,-8.09718475485949,8.95788730616122
12.17,-26.8153539239893,1087.16728954267,112.688588576757,-62.5129951145445,-6.17284897871763,14.6257702211255
12.18,-12.954273714447,1223.80207295472,82.4334633433132,-64.1279331338981,-1.11031177495538,21.3966807322072
12.19,-9.9515524587919,1362.31204176153,81.569473733908,-68.1316619643216,-0.780056924658017,29.1494638180922
12.2,-11.0537913020654,1484.89878541788,40.9823700482269,-67.7632140843583,3.59430995085145,35.2189857130997
12.21,-17.2837955059191,1516.02670140316,98.2966208717305,-69.6132578476997,6.7247136638833,38.6568643155334
12.22,-30.4597960061023,1503.00460947882,36.5258586302966,-63.1188116983663,3.56392709319883,41.2887806462464
